+----------+-----------------+---------------+-----------------+----------+----------+------------+-----------+-----------------------+---------------------------+--------------------+--------------------+----------------------+---------------------+---------------------------------+--------------------------------+---------------------------------------------+
| PlayerID | PlayerTrueName  | PlayerTeams   | SimplePlusMinus | SimplePF | SimplePA | SimplePoss | SimpleMin | SimplePlusMinusPer200 | WeightedPlusMinusOffCourt | WeightedPFOffCourt | WeightedPAOffCourt | WeightedPossOffCourt | WeightedMinOffCourt | WeightedPlusMinusPer200OffCourt | WeightedPlusMinusPer200OnCourt | WeightedPlusMinusPer200OnCourtMinusOffCourt |
|       93 | Foyle           | GOS           |             -24 |     3588 |     3612 |       7272 |   1823.77 |             -0.660066 |                       -87 |               4488 |               4575 |                 8802 |             2142.23 |                         -1.9768 |                        -0.6601 |                                      1.3167 |
|       94 | J. Smith        | ATL           |            -320 |     5007 |     5327 |      10013 |   2558.62 |              -6.39169 |                       -71 |               2965 |               3036 |                 5651 |             1417.38 |                         -2.5128 |                        -6.3917 |                                     -3.8789 |
|       95 | A. Harrington   | ATL           |            -331 |     5525 |     5856 |      10799 |   2781.80 |               -6.1302 |                       -60 |               2447 |               2507 |                 4865 |             1194.20 |                         -2.4666 |                        -6.1302 |                                     -3.6636 |
|       96 | Lue             | ATL           |            -119 |     2495 |     2614 |       4900 |   1233.83 |              -4.85714 |                      -272 |               5477 |               5749 |                10764 |             2742.17 |                         -5.0539 |                        -4.8571 |                                      0.1968 |
|       97 | M. Williams     | ATL           |             -83 |     4043 |     4126 |       7890 |   1952.03 |              -2.10393 |                      -308 |               3929 |               4237 |                 7774 |             2023.97 |                         -7.9238 |                        -2.1039 |                                      5.8199 |
|       98 | Pietrus         | GOS           |            -130 |     2304 |     2434 |       4798 |   1179.27 |              -5.41892 |                        19 |               5772 |               5753 |                11276 |             2786.73 |                           0.337 |                        -5.4189 |                                     -5.7559 |
|       99 | Edwards         | ATL           |             -89 |      563 |      652 |       1193 |    295.97 |              -14.9204 |                      -302 |               7409 |               7711 |                14471 |             3680.03 |                         -4.1739 |                       -14.9204 |                                    -10.7465 |
|      100 | S. Stoudamire   | ATL           |            -103 |     2542 |     2645 |       5035 |   1235.97 |              -4.09136 |                      -288 |               5430 |               5718 |                10629 |             2740.03 |                         -5.4191 |                        -4.0914 |                                      1.3277 |
|      101 | Biedrins        | GOS           |              32 |     2081 |     2049 |       4054 |   1000.45 |               1.57869 |                      -143 |               5995 |               6138 |                12020 |             2965.55 |                         -2.3794 |                         1.5787 |                                      3.9581 |
|      102 | Batista         | ATL           |              -9 |     1018 |     1027 |       1991 |    494.77 |             -0.904068 |                      -382 |               6954 |               7336 |                13673 |             3481.23 |                         -5.5877 |                        -0.9041 |                                      4.6836 |
|      103 | Fisher          | GOS           |             -10 |     5253 |     5263 |      10486 |   2589.43 |              -0.19073 |                      -101 |               2823 |               2924 |                 5588 |             1376.57 |                         -3.6149 |                        -0.1907 |                                      3.4242 |
|      104 | Taft            | GOS           |              11 |      292 |      281 |        576 |    143.93 |               3.81944 |                      -122 |               7784 |               7906 |                15498 |             3822.07 |                         -1.5744 |                         3.8194 |                                      5.3938 |
|      105 | Cheaney         | GOS           |             -87 |      823 |      910 |       1790 |    448.28 |              -9.72067 |                       -24 |               7253 |               7277 |                14284 |             3517.72 |                          -0.336 |                        -9.7207 |                                     -9.3847 |
|      106 | D. Smith        | ATL           |              17 |      285 |      268 |        540 |    127.10 |                6.2963 |                      -408 |               7687 |               8095 |                15124 |             3848.90 |                         -5.3954 |                         6.2963 |                                     11.6917 |
|      107 | Cabarkapa       | GOS           |            -107 |      970 |     1077 |       2041 |    505.27 |              -10.4851 |                        -4 |               7106 |               7110 |                14033 |             3460.73 |                          -0.057 |                       -10.4851 |                                    -10.4281 |
|      108 | A. Miles        | GOS           |              -4 |      231 |      235 |        477 |    118.05 |              -1.67715 |                      -107 |               7845 |               7952 |                15597 |             3847.95 |                         -1.3721 |                        -1.6771 |                                      -0.305 |
|      109 | Ivey            | ATL           |            -133 |     1874 |     2007 |       3758 |    977.47 |              -7.07823 |                      -258 |               6098 |               6356 |                11906 |             2998.53 |                         -4.3339 |                        -7.0782 |                                     -2.7443 |
