PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
758	Williams, Jawad	CLE	4.1333	8	8	2	5	25.0000	62.5000	-37.5000	1	1	4	5	0.1667	0.8000	523.8667	1012	1017	1100	1083	108.6957	106.4897	2.2060	157	184	371	353	0.3078	0.6685	-39.7060	-0.1411	0.1315
772	Beasley, Michael	MIA	135.0333	256	257	245	267	95.7031	103.8911	-8.1879	40	32	91	96	0.2941	0.7398	104.9667	196	195	193	212	98.4694	108.7179	-10.2486	33	34	62	69	0.3235	0.6458	2.0607	-0.0294	0.0940
773	Chalmers, Mario	MIA	130.5167	245	244	237	246	96.7347	100.8197	-4.0850	42	40	88	87	0.3256	0.6875	109.4833	207	208	201	233	97.1014	112.0192	-14.9178	31	26	65	78	0.2844	0.7143	10.8328	0.0412	-0.0268
777	Mbah a Moute, Luc	MIL	178.4000	308	310	318	332	103.2468	107.0968	-3.8500	61	62	111	116	0.3446	0.6416	157.6000	294	294	312	324	106.1224	110.2041	-4.0816	56	64	97	109	0.3394	0.6025	0.2316	0.0052	0.0391
779	Anderson, Ryan	ORL	88.9167	156	163	151	178	96.7949	109.2025	-12.4076	37	30	63	56	0.3978	0.6774	588.0833	1064	1054	1201	1053	112.8759	99.9051	12.9708	185	187	395	366	0.3358	0.6787	-25.3784	0.0620	-0.0013
785	Weaver, Kyle	OKC	12.0000	22	22	27	23	122.7273	104.5455	18.1818	2	3	12	9	0.1818	0.8000	276.0000	523	523	536	550	102.4857	105.1625	-2.6769	100	107	187	202	0.3311	0.6361	20.8587	-0.1493	0.1639
786	Westbrook, Russell	OKC	212.3333	401	402	419	431	104.4888	107.2139	-2.7252	81	79	145	153	0.3462	0.6473	75.6667	144	143	144	142	100.0000	99.3007	0.6993	21	31	54	58	0.2658	0.6353	-3.4245	0.0804	0.0120
790	Dragic, Goran	PHX	236.8667	429	439	489	480	113.9860	109.3394	4.6466	98	85	144	156	0.3858	0.6288	527.7000	1011	1011	1214	1148	120.0791	113.5509	6.5282	172	180	363	328	0.3440	0.6685	-1.8816	0.0418	-0.0397
791	Lopez, Robin	PHX	103.5500	199	200	244	246	122.6131	123.0000	-0.3869	42	36	59	65	0.3925	0.6211	661.0167	1241	1250	1459	1382	117.5665	110.5600	7.0065	228	229	448	419	0.3524	0.6617	-7.3934	0.0401	-0.0406
793	Hill, George	SAS	344.4167	655	653	683	730	104.2748	111.7917	-7.5169	116	107	222	243	0.3231	0.6748	135.5833	256	257	278	265	108.5938	103.1128	5.4809	43	47	106	93	0.3162	0.6928	-12.9978	0.0069	-0.0180
806	Teague, Jeff	ATL	58.4833	108	110	108	140	100.0000	127.2727	-27.2727	18	28	27	43	0.2951	0.4909	469.5167	838	835	876	919	104.5346	110.0599	-5.5253	176	156	299	309	0.3629	0.6571	-21.7474	-0.0678	-0.1662
808	Brown, Derrick	CHA	0.9000	2	2	2	3	100.0000	150.0000	-50.0000	0	0	1	1	0.0000	1.0000	191.1000	339	339	340	376	100.2950	110.9145	-10.6195	63	64	123	118	0.3481	0.6578	-39.3805	-0.3481	0.3422
811	Gibson, Taj	CHI	144.6167	276	279	277	293	100.3623	105.0179	-4.6556	48	42	105	106	0.3117	0.7143	95.3833	190	186	208	238	109.4737	127.9570	-18.4833	36	24	60	74	0.3273	0.7143	13.8277	-0.0156	0.0000
812	Johnson, James	CHI	19.9000	39	37	35	41	89.7436	110.8108	-21.0672	7	5	13	20	0.2593	0.7222	220.1000	427	428	450	490	105.3864	114.4860	-9.0996	77	61	152	160	0.3249	0.7136	-11.9676	-0.0656	0.0086
814	Beaubois, Rodrigue	DAL	30.9333	60	59	70	60	116.6667	101.6949	14.9718	13	13	25	19	0.4063	0.6579	257.0667	474	472	487	500	102.7426	105.9322	-3.1896	81	83	174	177	0.3140	0.6770	18.1614	0.0923	-0.0191
816	Lawson, Ty	DEN	117.7667	235	227	280	258	119.1489	113.6564	5.4925	49	43	75	73	0.4016	0.6356	170.2333	346	349	376	405	108.6705	116.0458	-7.3753	56	56	111	115	0.3275	0.6647	12.8678	0.0741	-0.0291
835	Ilyasova, Ersan	MIL	156.4833	289	291	297	321	102.7682	110.3093	-7.5411	57	63	98	112	0.3373	0.6087	179.5167	313	313	333	335	106.3898	107.0288	-0.6390	60	63	110	113	0.3468	0.6358	-6.9021	-0.0095	-0.0271
836	Jennings, Brandon	MIL	249.3500	440	440	474	488	107.7273	110.9091	-3.1818	89	84	153	167	0.3477	0.6456	86.6500	162	164	156	168	96.2963	102.4390	-6.1427	28	42	55	58	0.3256	0.5670	2.9609	0.0221	0.0786
846	Harden, James	OKC	120.0333	224	225	251	247	112.0536	109.7778	2.2758	38	42	87	79	0.3248	0.6744	167.9667	321	320	312	326	97.1963	101.8750	-4.6787	64	68	112	132	0.3265	0.6222	6.9545	-0.0017	0.0522
847	Ibaka, Serge	OKC	152.6167	288	290	320	289	111.1111	99.6552	11.4559	54	58	111	97	0.3576	0.6568	135.3833	257	255	243	284	94.5525	111.3725	-16.8200	48	52	88	114	0.2963	0.6286	28.2759	0.0613	0.0282
848	Mullens, Byron	OKC	4.2333	8	8	3	7	37.5000	87.5000	-50.0000	0	3	3	6	0.0000	0.5000	283.7667	537	537	560	566	104.2831	105.4004	-1.1173	102	107	196	205	0.3322	0.6469	-48.8827	-0.3322	-0.1469
850	Clark, Earl	PHX	12.7333	28	25	20	22	71.4286	88.0000	-16.5714	8	5	12	9	0.4706	0.7059	751.8333	1412	1425	1683	1606	119.1926	112.7018	6.4909	262	260	495	475	0.3555	0.6556	-23.0623	0.1151	0.0503
852	Cunningham, Dante	POR	42.0167	87	85	84	98	96.5517	115.2941	-18.7424	17	17	29	31	0.3542	0.6304	245.9833	437	438	474	522	108.4668	119.1781	-10.7113	86	88	141	165	0.3426	0.6157	-8.0311	0.0116	0.0147
853	Mills, Patrick	POR	12.3667	24	26	28	27	116.6667	103.8462	12.8205	8	6	8	8	0.5000	0.5714	275.6333	500	497	530	593	106.0000	119.3159	-13.3159	95	99	162	188	0.3357	0.6207	26.1364	0.1643	-0.0493
854	Pendergraph, Jeff	POR	16.5667	32	34	35	33	109.3750	97.0588	12.3162	6	9	11	13	0.3158	0.5500	271.4333	492	489	523	587	106.3008	120.0409	-13.7401	97	96	159	183	0.3464	0.6235	26.0563	-0.0306	-0.0735
858	Blair, DeJuan	SAS	91.2500	178	178	169	191	94.9438	107.3034	-12.3596	44	35	56	66	0.4000	0.6154	388.7500	733	732	792	804	108.0491	109.8361	-1.7870	115	119	272	270	0.2987	0.6957	-10.5726	0.1013	-0.0803
861	Matthews, Wes	UTA	371.4000	738	735	846	853	114.6341	116.0544	-1.4203	141	139	237	244	0.3662	0.6303	108.6000	206	214	225	240	109.2233	112.1495	-2.9262	37	37	68	74	0.3333	0.6476	1.5059	0.0329	-0.0173
862	Maynor, Eric	OKC	76.1667	145	144	144	144	99.3103	100.0000	-0.6897	21	32	54	59	0.2625	0.6279	211.8333	400	401	419	429	104.7500	106.9825	-2.2325	81	78	145	152	0.3476	0.6502	1.5428	-0.0851	-0.0223
865	Gaines, Sundiata	UTA	7.3500	15	15	17	10	113.3333	66.6667	46.6667	7	1	8	5	0.5833	0.8889	472.6500	929	934	1054	1083	113.4553	115.9529	-2.4976	171	175	297	313	0.3533	0.6292	49.1643	0.2300	0.2597
